2018AJ....156...99L,unrelated,
2018AJ....156..102S,tess,astrophysics
2018AJ....156..132O,tess,astrophysics
2018AJ....156..173B,unrelated,
2018AJ....156..234C,tess,exoplanets
2018AJ....156..255B,tess,exoplanets
2018AJ....156..259Z,unrelated,
2018AJ....156..266S,unrelated,
2018AJ....156..292T,unrelated,
2018ATel11976....1B,tess,astrophysics
2018ATel12149....1B,tess,astrophysics
2018ApJ...853..122R,unrelated,
2018ApJ...856..150Q,unrelated,
2018ApJ...856L...3H,unrelated,
2018ApJ...856L..34B,tess,exoplanets
2018ApJ...858...58N,unrelated,
2018ApJ...858L...7T,unrelated,
2018ApJ...859..167E,unrelated,
2018ApJ...861L...5G,unrelated,
2018ApJ...862...53S,unrelated,
2018ApJ...864L..28R,unrelated,
2018ApJ...866...15N,unrelated,
2018ApJ...868L..39H,tess,exoplanets
2018ApJ...869....5N,unrelated,
2018ApJ...869L...7A,unrelated,
2018ApJS..239....2B,tess,exoplanets
2018ApJS..239....5C,tess,exoplanets
2018ApJS..239...34B,tess,astrophysics
2018ApPhL.112m2601C,unrelated,
2018IAUS..330..127M,unrelated,
2018JAVSO..46...86C,unrelated,
2018JAVSO..46..167H,unrelated,
2018JLTP..193..305P,unrelated,
2018JLTP..193.1112G,unrelated,
2018MNRAS.473.1231A,unrelated,
2018MNRAS.473.2004S,tess,astrophysics
2018MNRAS.475.3813B,unrelated,
2018MNRAS.475.4476W,unrelated,
2018MNRAS.476.3233H,unrelated,
2018MNRAS.476.5253C,unrelated,
2018MNRAS.478..228Q,unrelated,
2018MNRAS.478.2676B,tess,astrophysics
2018MNRAS.478.4225A,unrelated,
2018MNRAS.478.4720G,unrelated,
2018MNRAS.479.5303L,unrelated,
2018MNRAS.480..467P,unrelated,
2018MNRAS.480.1372S,unrelated,
2018MNRAS.480.2153D,unrelated,
2018MNRAS.480.3864E,unrelated,
2018MNRAS.480L..48Y,unrelated,
2018Natur.556..158W,tess,exoplanets
2018PASP..130d4401L,tess,exoplanets
2018PASP..130e4502S,unrelated,
2018PASP..130f4502T,unrelated,
2018PASP..130g4202M,unrelated,
2018PASP..130k4401K,tess,exoplanets
2018PASP..130k4503P,tess,astrophysics
2018PhDT........21V,unrelated,
2018PhDT.......152B,unrelated,
2018RNAAS...2...47J,tess,astrophysics
2018SPIE10698E..5JV,unrelated,
2018SPIE10699E..4MC,unrelated,
2018SPIE10699E..4OC,unrelated,
2018SPIE10702E..50S,unrelated,
2018SPIE10709E..1CH,unrelated,
2018Sci...359.1453C,tess,exoplanets
2018arXiv180103994Z,unrelated,
